rank_by_auc,run_name,model_type,relation_mode,max_users,use_graph_encoder,use_temporal_encoder,use_prerequisite_edges,auc,accuracy,f1,bce_loss,run_dir,config_path
1,ednet1k_thgkt_cooccurrence_graph_seed05,thgkt,cooccurrence,1000,True,True,True,0.727512017793775,0.7157395015277392,0.8081596482557645,0.5570652002560805,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_cooccurrence_graph_seed05,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_cooccurrence_graph_seed05_cuda.json
2,ednet1k_thgkt_no_prereq_seed08,thgkt,transition,1000,True,True,False,0.7273978674703954,0.7173556223327694,0.8164209214216593,0.5615093483588632,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_prereq_seed08,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_prereq_seed08_cuda.json
3,ednet1k_thgkt_no_prereq_seed05,thgkt,transition,1000,True,True,False,0.7272205924364056,0.714375899598495,0.8035295548105817,0.5579389923012315,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_prereq_seed05,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_prereq_seed05_cuda.json
4,ednet1k_thgkt_full_seed01,thgkt,transition,1000,True,True,True,0.7270701740655706,0.7177091487588697,0.8100715268692977,0.5569407506468945,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_full_seed01,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_full_seed01_cuda.json
5,ednet1k_thgkt_cooccurrence_graph_seed06,thgkt,cooccurrence,1000,True,True,True,0.7270524217030149,0.7184919572738062,0.8107236238921525,0.555528292450073,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_cooccurrence_graph_seed06,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_cooccurrence_graph_seed06_cuda.json
6,ednet1k_thgkt_full_seed10,thgkt,transition,1000,True,True,True,0.7270375296057935,0.7140981288351305,0.8008162978079588,0.560295373810358,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_full_seed10,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_full_seed10_cuda.json
7,ednet1k_thgkt_no_prereq_seed07,thgkt,transition,1000,True,True,False,0.7263614979975803,0.7199565667533648,0.812738509337746,0.5685359738269538,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_prereq_seed07,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_prereq_seed07_cuda.json
8,ednet1k_thgkt_cooccurrence_graph_seed01,thgkt,cooccurrence,1000,True,True,True,0.7262595813039487,0.7157900053028964,0.8074389638830434,0.557213664624381,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_cooccurrence_graph_seed01,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_cooccurrence_graph_seed01_cuda.json
9,ednet1k_thgkt_cooccurrence_graph_seed04,thgkt,cooccurrence,1000,True,True,True,0.7261065922038409,0.7113961768642206,0.7974694759972355,0.5601130588992271,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_cooccurrence_graph_seed04,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_cooccurrence_graph_seed04_cuda.json
10,ednet1k_thgkt_cooccurrence_graph_seed02,thgkt,cooccurrence,1000,True,True,True,0.7256547375469663,0.7130122976692508,0.8027765726681129,0.5574576071823242,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_cooccurrence_graph_seed02,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_cooccurrence_graph_seed02_cuda.json
11,ednet1k_thgkt_cooccurrence_graph_seed10,thgkt,cooccurrence,1000,True,True,True,0.7254206958972915,0.7113961768642206,0.7978205876629695,0.5613223909107977,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_cooccurrence_graph_seed10,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_cooccurrence_graph_seed10_cuda.json
12,ednet1k_thgkt_full_seed06,thgkt,transition,1000,True,True,True,0.7253032583160021,0.7163455468296255,0.8060835189117337,0.5569805654122524,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_full_seed06,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_full_seed06_cuda.json
13,ednet1k_thgkt_no_prereq_seed09,thgkt,transition,1000,True,True,False,0.7251011445974677,0.717128355344562,0.811534708435681,0.5656140907182474,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_prereq_seed09,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_prereq_seed09_cuda.json
14,ednet1k_thgkt_cooccurrence_graph_seed09,thgkt,cooccurrence,1000,True,True,True,0.7250896216471432,0.7184414534986491,0.8148394167856787,0.5659981444487148,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_cooccurrence_graph_seed09,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_cooccurrence_graph_seed09_cuda.json
15,ednet1k_thgkt_no_prereq_seed02,thgkt,transition,1000,True,True,False,0.7243930622246336,0.7136940986338729,0.8023567967088518,0.5594844111697216,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_prereq_seed02,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_prereq_seed02_cuda.json
16,ednet1k_dkt_baseline_seed04,dkt_baseline,transition,1000,,,,0.7242897183229416,0.7213959243453448,0.8188787654929001,0.556728922197147,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_dkt_baseline_seed04,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_dkt_baseline_seed04_cuda.json
17,ednet1k_thgkt_full_seed08,thgkt,transition,1000,True,True,True,0.7241786446857907,0.7162697911668897,0.8141704154538237,0.5634172046233727,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_full_seed08,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_full_seed08_cuda.json
18,ednet1k_thgkt_no_prereq_seed03,thgkt,transition,1000,True,True,False,0.7241185674153425,0.708492209792682,0.7933182941239662,0.5662202370983885,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_prereq_seed03,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_prereq_seed03_cuda.json
19,ednet1k_thgkt_no_prereq_seed04,thgkt,transition,1000,True,True,False,0.7240797227894009,0.7105881164617055,0.7973047061528394,0.5613248674704157,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_prereq_seed04,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_prereq_seed04_cuda.json
20,ednet1k_thgkt_no_temporal_seed09,thgkt,transition,1000,True,False,True,0.7240243833817765,0.7167243251433044,0.8058161675610178,0.5619686623622859,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_temporal_seed09,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_temporal_seed09_cuda.json
21,ednet1k_thgkt_no_prereq_seed01,thgkt,transition,1000,True,True,False,0.724003103943563,0.7137698542966087,0.8035085894568967,0.5606678322536188,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_prereq_seed01,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_prereq_seed01_cuda.json
22,ednet1k_thgkt_cooccurrence_graph_seed08,thgkt,cooccurrence,1000,True,True,True,0.7239931310347797,0.7159667685159465,0.8079431752211179,0.5695408321652934,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_cooccurrence_graph_seed08,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_cooccurrence_graph_seed08_cuda.json
23,ednet1k_dkt_baseline_seed05,dkt_baseline,transition,1000,,,,0.7239129500180039,0.7193757733390571,0.8174995483881563,0.5565317535815648,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_dkt_baseline_seed05,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_dkt_baseline_seed05_cuda.json
24,ednet1k_dkt_baseline_seed02,dkt_baseline,transition,1000,,,,0.72377737110147,0.7207393752683013,0.8188029426703587,0.556899344412297,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_dkt_baseline_seed02,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_dkt_baseline_seed02_cuda.json
25,ednet1k_thgkt_no_prereq_seed10,thgkt,transition,1000,True,True,False,0.7237051742609344,0.712810282568622,0.799478110619391,0.5609793442448184,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_prereq_seed10,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_prereq_seed10_cuda.json
26,ednet1k_dkt_baseline_seed07,dkt_baseline,transition,1000,,,,0.7234256988464649,0.7208151309310371,0.8157149048238156,0.5564510377050865,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_dkt_baseline_seed07,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_dkt_baseline_seed07_cuda.json
27,ednet1k_thgkt_full_seed04,thgkt,transition,1000,True,True,True,0.7233281807612821,0.7121284816039999,0.8002313111134476,0.5628003639111602,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_full_seed04,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_full_seed04_cuda.json
28,ednet1k_thgkt_cooccurrence_graph_seed03,thgkt,cooccurrence,1000,True,True,True,0.7228647183404893,0.7167243251433044,0.8050128624070082,0.5621955466447389,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_cooccurrence_graph_seed03,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_cooccurrence_graph_seed03_cuda.json
29,ednet1k_thgkt_no_prereq_seed06,thgkt,transition,1000,True,True,False,0.7227608099897077,0.7155374864271105,0.807491839978126,0.5585304078877993,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_prereq_seed06,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_prereq_seed06_cuda.json
30,ednet1k_dkt_baseline_seed10,dkt_baseline,transition,1000,,,,0.7227180112955329,0.7190222469129568,0.8115888040367781,0.5575499244588186,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_dkt_baseline_seed10,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_dkt_baseline_seed10_cuda.json
31,ednet1k_thgkt_no_temporal_seed07,thgkt,transition,1000,True,False,True,0.7227030724046046,0.7158405090780536,0.8059392622484348,0.5724022880193891,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_temporal_seed07,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_temporal_seed07_cuda.json
32,ednet1k_dkt_baseline_seed09,dkt_baseline,transition,1000,,,,0.7226286119184975,0.7185424610489634,0.8151943228544899,0.55686421764695,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_dkt_baseline_seed09,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_dkt_baseline_seed09_cuda.json
33,ednet1k_thgkt_no_temporal_seed02,thgkt,transition,1000,True,False,True,0.7225221386876565,0.7129870457816722,0.8027626418630479,0.5781178665252921,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_temporal_seed02,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_temporal_seed02_cuda.json
34,ednet1k_thgkt_full_seed05,thgkt,transition,1000,True,True,True,0.722314582276088,0.7146284184742809,0.8041251408267613,0.56112775280781,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_full_seed05,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_full_seed05_cuda.json
35,ednet1k_thgkt_full_seed02,thgkt,transition,1000,True,True,True,0.7222319913834068,0.7120527259412641,0.8019384086290449,0.56233439249626,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_full_seed02,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_full_seed02_cuda.json
36,ednet1k_thgkt_full_seed07,thgkt,transition,1000,True,True,True,0.7221555977322833,0.7168505845811974,0.8134989937295212,0.5679764630788704,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_full_seed07,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_full_seed07_cuda.json
37,ednet1k_dkt_baseline_seed03,dkt_baseline,transition,1000,,,,0.7221265417649042,0.7204616045049368,0.8161373903800159,0.5611150095945332,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_dkt_baseline_seed03,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_dkt_baseline_seed03_cuda.json
38,ednet1k_thgkt_full_seed09,thgkt,transition,1000,True,True,True,0.7221019575211408,0.7182646902855988,0.8134686439402804,0.5722473329092591,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_full_seed09,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_full_seed09_cuda.json
39,ednet1k_thgkt_full_seed03,thgkt,transition,1000,True,True,True,0.7217563187297193,0.7132900684326153,0.8010792249202845,0.5667296699007682,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_full_seed03,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_full_seed03_cuda.json
40,ednet1k_thgkt_no_temporal_seed08,thgkt,transition,1000,True,False,True,0.721624690956812,0.7140728769475518,0.8039748628014474,0.5653502223117254,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_temporal_seed08,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_temporal_seed08_cuda.json
41,ednet1k_thgkt_no_temporal_seed03,thgkt,transition,1000,True,False,True,0.7213514449545738,0.7166738213681473,0.8114222326800902,0.570226600755318,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_temporal_seed03,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_temporal_seed03_cuda.json
42,ednet1k_thgkt_no_temporal_seed04,thgkt,transition,1000,True,False,True,0.7206815725680317,0.7155374864271105,0.8057926040858547,0.5614217769199142,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_temporal_seed04,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_temporal_seed04_cuda.json
43,ednet1k_thgkt_no_temporal_seed01,thgkt,transition,1000,True,False,True,0.7204658214085421,0.7139718693972374,0.8063396536100805,0.5609920755311552,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_temporal_seed01,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_temporal_seed01_cuda.json
44,ednet1k_dkt_baseline_seed01,dkt_baseline,transition,1000,,,,0.7204134855719794,0.7193252695638999,0.8159311087190528,0.5621579235856385,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_dkt_baseline_seed01,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_dkt_baseline_seed01_cuda.json
45,ednet1k_thgkt_no_temporal_seed06,thgkt,transition,1000,True,False,True,0.7203852075499775,0.7090477513194111,0.7959769097283707,0.5638519207850196,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_temporal_seed06,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_temporal_seed06_cuda.json
46,ednet1k_dkt_baseline_seed06,dkt_baseline,transition,1000,,,,0.7202121936679223,0.7187949799247494,0.812323041661049,0.5631878967936687,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_dkt_baseline_seed06,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_dkt_baseline_seed06_cuda.json
47,ednet1k_thgkt_cooccurrence_graph_seed07,thgkt,cooccurrence,1000,True,True,True,0.7197737951263886,0.7148304335749097,0.8069407641678775,0.5762813433033733,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_cooccurrence_graph_seed07,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_cooccurrence_graph_seed07_cuda.json
48,ednet1k_dkt_baseline_seed08,dkt_baseline,transition,1000,,,,0.7197276243607102,0.7181636827352844,0.8126311548340523,0.5615065127489892,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_dkt_baseline_seed08,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_dkt_baseline_seed08_cuda.json
49,ednet1k_thgkt_no_temporal_seed10,thgkt,transition,1000,True,False,True,0.7196044428518986,0.7109416428878058,0.7978169101153363,0.5707261024997557,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_temporal_seed10,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_temporal_seed10_cuda.json
50,ednet1k_thgkt_no_temporal_seed05,thgkt,transition,1000,True,False,True,0.7181348455421624,0.7121032297164213,0.8002032840895151,0.5759200445287544,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_temporal_seed05,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_temporal_seed05_cuda.json
51,ednet1k_sakt_baseline_seed08,sakt_baseline,transition,1000,,,,0.7013316640848238,0.7134920835332441,0.8117096485114009,0.5694772610342104,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed08,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed08_cuda.json
52,ednet1k_sakt_baseline_seed07,sakt_baseline,transition,1000,,,,0.6996141712635634,0.7142243882730234,0.8107113586565642,0.5714713740370327,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed07,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed07_cuda.json
53,ednet1k_sakt_baseline_seed05,sakt_baseline,transition,1000,,,,0.6991202812348578,0.7153607232140603,0.8163870337188467,0.5703086901120308,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed05,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed05_cuda.json
54,ednet1k_sakt_baseline_seed02,sakt_baseline,transition,1000,,,,0.697103645019196,0.7133658240953511,0.8171169864823496,0.5734475683137006,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed02,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed02_cuda.json
55,ednet1k_sakt_baseline_seed01,sakt_baseline,transition,1000,,,,0.6954469547708407,0.712936542006515,0.8109178004723728,0.5730292425122112,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed01,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed01_cuda.json
56,ednet1k_sakt_baseline_seed10,sakt_baseline,transition,1000,,,,0.6954394765515565,0.7106891240120199,0.8070529985348356,0.5739613131759501,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed10,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed10_cuda.json
57,ednet1k_sakt_baseline_seed04,sakt_baseline,transition,1000,,,,0.6953487611015146,0.7118002070654782,0.8180470306895178,0.5755534966187412,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed04,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed04_cuda.json
58,ednet1k_sakt_baseline_seed06,sakt_baseline,transition,1000,,,,0.694926404027628,0.7127092750183076,0.815101331036388,0.5724988007361913,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed06,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed06_cuda.json
59,ednet1k_sakt_baseline_seed03,sakt_baseline,transition,1000,,,,0.6932772066215903,0.7091740107573041,0.8166579110750274,0.5787243225820322,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed03,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed03_cuda.json
60,ednet1k_sakt_baseline_seed09,sakt_baseline,transition,1000,,,,0.6932320185237568,0.7101083305977122,0.8035928143712575,0.5801608592553773,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed09,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed09_cuda.json
61,ednet1k_graph_only_seed09,graph_only,transition,1000,,,,0.6530945848216657,0.6903866063988283,0.8119911063405658,0.6004939762369971,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed09,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed09_cuda.json
62,ednet1k_graph_only_seed06,graph_only,transition,1000,,,,0.6529452719521562,0.6904371101739855,0.8120333031785216,0.6001228220230173,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed06,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed06_cuda.json
63,ednet1k_graph_only_seed05,graph_only,transition,1000,,,,0.6526605322456605,0.6886442261559051,0.8112023029337906,0.5999435884054791,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed05,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed05_cuda.json
64,ednet1k_graph_only_seed04,graph_only,transition,1000,,,,0.6522782422833083,0.6903866063988283,0.8120026372682806,0.6008587871240699,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed04,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed04_cuda.json
65,ednet1k_graph_only_seed01,graph_only,transition,1000,,,,0.6518303387700601,0.6903866063988283,0.8120084022017449,0.600685735860888,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed01,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed01_cuda.json
66,ednet1k_graph_only_seed07,graph_only,transition,1000,,,,0.651523538755367,0.6886442261559051,0.8112023029337906,0.6011632573101289,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed07,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed07_cuda.json
67,ednet1k_graph_only_seed08,graph_only,transition,1000,,,,0.6509344703268236,0.6903866063988283,0.8119911063405658,0.6010005219357554,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed08,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed08_cuda.json
68,ednet1k_graph_only_seed03,graph_only,transition,1000,,,,0.6489286142113891,0.6903108507360926,0.8119422209954917,0.6016875332472147,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed03,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed03_cuda.json
69,ednet1k_graph_only_seed10,graph_only,transition,1000,,,,0.6445033976910581,0.6787959900002525,0.8086700159441653,0.608600264400852,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed10,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed10_cuda.json
70,ednet1k_graph_only_seed02,graph_only,transition,1000,,,,0.6444724758246162,0.6787959900002525,0.8086700159441653,0.6082206044988211,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed02,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed02_cuda.json
